blendshape,mean,std,median,q25,q75
mouthShrugLower,0.03334477082254307,0.09065708848026395,0.004480141680687666,0.0014515408547595143,0.017940479796379805
mouthShrugUpper,0.032677476329059575,0.045950349043996454,0.015299021266400814,0.0064554475247859955,0.038585999980568886
mouthSmileLeft,0.10831051227635291,0.23364788503393447,0.0002548235934227705,1.0266580829920713e-05,0.04080903064459562
mouthSmileRight,0.11023186889663052,0.238808409962116,0.00017856564954854548,8.045964477787493e-06,0.0412419056519866
mouthStretchLeft,0.01421746332083285,0.051258658559552854,0.0007915178721304983,0.00012993235941394232,0.005231951945461333
mouthStretchRight,0.02205354217688,0.06898468847890589,0.0018939736182801425,0.0004139038865105249,0.011548153590410948
mouthUpperUpLeft,0.08623701080804995,0.18062867443815853,0.0011487008887343109,7.511160038120579e-05,0.05420743674039841
mouthUpperUpRight,0.08736262492424714,0.1791113606892624,0.0012571683037094772,0.00010518685303395614,0.06567970663309097
noseSneerLeft,2.3370987348982906e-06,2.339832448837566e-06,1.5109297919480014e-06,8.746605431042553e-07,2.9717095344494737e-06
noseSneerRight,2.376249396789376e-06,3.6798819534730236e-06,8.912683711059799e-07,3.6495244870593524e-07,2.715008292852872e-06
