frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,joy_raw,sadness_raw,anger_raw,surprise_raw,joy,sadness,anger,surprise
33,1.911721938085975e-06,0.005487970542162657,0.009054982103407383,0.39018386602401733,0.19115284085273743,0.0906650573015213,9.072874672710896e-05,1.0305089972462156e-06,4.7191014118652674e-07,0.08227650076150894,0.05927511304616928,0.13548743724822998,0.13937018811702728,0.03875912353396416,0.16196420788764954,0.1422879695892334,0.028488336130976677,0.08436456322669983,0.07446398586034775,0.3040544092655182,0.3184276223182678,0.011284216307103634,0.01494469866156578,0.000444498349679634,0.0008167069172486663,0.005402273964136839,3.44738109561149e-05,0.0006562768248841166,0.024012872949242592,0.010577467270195484,2.790397593344096e-05,3.49665860994719e-05,0.0038294121623039246,0.0034583895467221737,0.002195908920839429,0.003954984247684479,0.08730629831552505,0.06486222892999649,0.008516138419508934,0.000664121878799051,0.0023564074654132128,0.010286622680723667,0.002873156452551484,0.007365194149315357,0.8581598401069641,0.7961541414260864,0.004465373232960701,0.013083867728710175,0.003808391047641635,0.002676112111657858,2.1398284388851607e-06,2.3001994122751057e-06,0.8271569907665253,0.13008224552868342,0.159256246057339,0.1977930699940771,76.79075546619298,47.659755632191704,24.156956723545044,40.90797537181212
36,1.9702497411344666e-06,0.004798993468284607,0.012039649300277233,0.3611992597579956,0.19132378697395325,0.07323791086673737,9.02544052223675e-05,1.1661048802125151e-06,4.3420530460025475e-07,0.08919373154640198,0.07069633156061172,0.11811104416847229,0.12590861320495605,0.05331757292151451,0.11173892766237259,0.09252233058214188,0.048875611275434494,0.0997818186879158,0.08603569120168686,0.3817846477031708,0.3633773922920227,0.011147438548505306,0.011488351970911026,0.0004173989000264555,0.0007915915339253843,0.004425897728651762,2.4379667593166232e-05,0.0005986593896523118,0.013208351098001003,0.011338502168655396,6.976437725825235e-05,7.644535071449354e-05,0.0028759241104125977,0.0021049981005489826,0.001962838228791952,0.003139340551570058,0.07001758366823196,0.0723666101694107,0.00683958875015378,0.0008576955297030509,0.00292347464710474,0.007772696204483509,0.004100191406905651,0.007734187413007021,0.8545913696289062,0.8329876661300659,0.006811720784753561,0.020036151632666588,0.0033822592813521624,0.002852608682587743,1.75237687471963e-06,2.4637836304464145e-06,0.8437895178794861,0.12044848982865612,0.19050017069093883,0.18281257874332368,77.14368295605252,45.74474484273057,27.588721737797346,39.018590525210726
39,2.03394438358373e-06,0.018941085785627365,0.020454345270991325,0.17218008637428284,0.09947159141302109,0.09352011233568192,5.536841490538791e-05,6.12695032486954e-07,3.814930096268654e-07,0.07368801534175873,0.05107688903808594,0.12366077303886414,0.14014339447021484,0.07752063870429993,0.07211330533027649,0.05928919464349747,0.07933903485536575,0.08993513882160187,0.07508613169193268,0.41312286257743835,0.33012574911117554,0.0127084506675601,0.012777653522789478,0.0002728727413341403,0.0008206210331991315,0.0022914011497050524,1.630195947655011e-05,0.00041497370693832636,0.02728894352912903,0.004916847683489323,3.0258803235483356e-05,4.257968976162374e-05,0.0029607154428958893,0.00963671039789915,0.0007172320038080215,0.0013391050742939115,0.05841004475951195,0.037503160536289215,0.015456018969416618,0.00021890769130550325,0.0019381357124075294,0.004522567614912987,0.0038239171262830496,0.006256126333028078,0.8308670520782471,0.75044184923172,0.0026539454702287912,0.012605627998709679,0.001248649787157774,0.0006797989481128752,1.6435345742138452e-06,2.407291276540491e-06,0.7906544506549835,0.05741764162242665,0.19566101068630815,0.08723574376199394,75.97665585895001,28.669431237502568,28.125913006577402,23.390732502286156
42,1.8598690303406329e-06,0.004849713295698166,0.006625506095588207,0.3213045001029968,0.2135716676712036,0.15516237914562225,6.770688196411356e-05,9.32509522044711e-07,4.100578223642515e-07,0.06087179854512215,0.04284335672855377,0.08981314301490784,0.09998122602701187,0.07458993047475815,0.07726515084505081,0.0622028224170208,0.07470386475324631,0.12809500098228455,0.11173807829618454,0.38470470905303955,0.337907075881958,0.015768907964229584,0.017177507281303406,0.00035792082780972123,0.0004100989899598062,0.0025760268326848745,3.598922194214538e-05,0.00039786097477190197,0.02089577540755272,0.004511402919888496,3.8065409171395004e-05,5.331639476935379e-05,0.003401367459446192,0.005056806840002537,0.0011896941578015685,0.002453002380207181,0.055476363748311996,0.03727298974990845,0.01406137179583311,0.0004023395013064146,0.0016408985247835517,0.004088019020855427,0.003120334818959236,0.006949781905859709,0.8368486762046814,0.778864860534668,0.0031725638546049595,0.019428644329309464,0.0016996751073747873,0.0010382338659837842,2.1276657662383514e-06,2.301546601302107e-06,0.8078567683696747,0.10713196063564585,0.18352175108157098,0.16194026346784085,76.36731101269129,42.85465211836172,26.849438337723015,36.17527483272734
45,1.815221480683249e-06,0.00389817263931036,0.005500336177647114,0.4060373604297638,0.23358160257339478,0.1422620266675949,6.568225217051804e-05,1.0599659390209126e-06,4.2171365066678845e-07,0.07799229770898819,0.05744784697890282,0.10234950482845306,0.10738440603017807,0.06063566356897354,0.09545024484395981,0.08138818293809891,0.06086990237236023,0.12193207442760468,0.10893241316080093,0.346762478351593,0.37751826643943787,0.013000700622797012,0.01450556330382824,0.0004005646624136716,0.0004951600567437708,0.0026972817722707987,3.480951636447571e-05,0.0004146535065956414,0.01665560156106949,0.006325099617242813,4.982702375855297e-05,6.621264765271917e-05,0.0033108678180724382,0.0023885632399469614,0.0013404831988736987,0.002549809869378805,0.06337868422269821,0.049359098076820374,0.011030176654458046,0.0008281048503704369,0.001904873177409172,0.004718022421002388,0.0032015214674174786,0.006617285311222076,0.832037627696991,0.7985999584197998,0.0038634149823337793,0.024645769968628883,0.0012801181292161345,0.0009328119922429323,2.0942238734278362e-06,2.2749843537894776e-06,0.8153187930583954,0.1353844667003917,0.1834198134019971,0.2043673211010173,76.53284616501679,48.657160557575416,26.83852733050732,41.700671532861094
48,2.2587983039557002e-06,0.005454466212540865,0.013480445370078087,0.3501124978065491,0.24667099118232727,0.06627724319696426,7.843871571822092e-05,1.0144240150111727e-06,5.169965220375161e-07,0.10344269871711731,0.08458095043897629,0.15267044305801392,0.15128283202648163,0.041742127388715744,0.1233062744140625,0.10918118804693222,0.041739508509635925,0.07639700919389725,0.06634300202131271,0.2929905354976654,0.38776594400405884,0.00905642844736576,0.00965222716331482,0.00036424348945729434,0.0013412825064733624,0.005212579388171434,2.594243414932862e-05,0.0008290241821669042,0.017495062202215195,0.009536167606711388,5.9309069911250845e-05,7.055229070829228e-05,0.002310217125341296,0.002871548756957054,0.0015824371948838234,0.0026478422805666924,0.08640597760677338,0.08992689102888107,0.0071167536079883575,0.0007234449149109423,0.004437854513525963,0.011423561722040176,0.0046520596370100975,0.007355839945375919,0.8056728839874268,0.7947976589202881,0.0034395845141261816,0.01928936317563057,0.001023532822728157,0.0008120554848574102,1.6530810853510047e-06,2.7927933388127713e-06,0.8002352714538574,0.11674745305572287,0.1749228477710858,0.17766253859736025,76.19580994895352,44.97125817252798,25.917458321164222,38.340833912287465
51,1.6601318293396616e-06,0.009296954609453678,0.017613692209124565,0.35493260622024536,0.11456330865621567,0.051955804228782654,5.236066135694273e-05,6.758051540600718e-07,4.0823559288583056e-07,0.09906762093305588,0.06820381432771683,0.13760311901569366,0.15039707720279694,0.042720697820186615,0.12897701561450958,0.11448267102241516,0.034963637590408325,0.0787811428308487,0.06596148014068604,0.34187623858451843,0.3245181441307068,0.009986034594476223,0.010266538709402084,0.000285481772152707,0.001646722317673266,0.0032123869750648737,1.2942340617883019e-05,0.0005741055938415229,0.016808951273560524,0.007232527248561382,4.136272764299065e-05,4.959293801221065e-05,0.0031093424186110497,0.004940561484545469,0.0009375343797728419,0.0015606052475050092,0.06579776108264923,0.05387096479535103,0.014719128608703613,0.00047201794222928584,0.002755872206762433,0.005842846352607012,0.003627609461545944,0.006631160154938698,0.7923116683959961,0.7389092445373535,0.003307545790448785,0.011792080476880074,0.0007500251522287726,0.0005069933831691742,1.7432709000786417e-06,1.8827134908860899e-06,0.7656104564666748,0.11834118729530019,0.17332625738345087,0.17907249659765512,75.38426289251156,45.307022914822156,25.741793890081986,38.5278806137544
54,2.153879449906526e-06,0.0057157245464622974,0.012641756795346737,0.37319251894950867,0.2099066823720932,0.05731594190001488,6.43957027932629e-05,1.1468332559161354e-06,4.0704949810788094e-07,0.08035358041524887,0.07519911974668503,0.171947181224823,0.1763177365064621,0.03128989785909653,0.14390677213668823,0.1297348141670227,0.03548813611268997,0.06593886762857437,0.0561487041413784,0.29554682970046997,0.3817433714866638,0.011399682611227036,0.009995968081057072,0.0002669289824552834,0.0012161557096987963,0.0046586268581449986,2.0067745936103165e-05,0.0010627300944179296,0.006149287335574627,0.008164129219949245,0.00018954910046886653,0.00018433934019412845,0.0018653406295925379,0.0024920699652284384,0.0009434474632143974,0.001278725336305797,0.06152767688035965,0.07140909880399704,0.007991993799805641,0.000699021271429956,0.006392269395291805,0.008673722855746746,0.00754541577771306,0.008023180067539215,0.7816293835639954,0.7792598009109497,0.007183918263763189,0.016534054651856422,0.0006609739502891898,0.0006004751194268465,1.1340116543578915e-06,2.418751591903856e-06,0.7804445922374725,0.12452213579672389,0.1739119206322357,0.18892557290382683,75.73862759013966,46.57134854414908,25.80632799447721,39.80398389926061
57,2.3751081243972294e-06,0.019040822982788086,0.0326387993991375,0.23385301232337952,0.09476591646671295,0.03567209094762802,8.21193098090589e-05,9.96696030597377e-07,3.937805388432025e-07,0.11796288937330246,0.08013211190700531,0.14805632829666138,0.15416866540908813,0.030475739389657974,0.14981894195079803,0.13507775962352753,0.03446640074253082,0.07408352941274643,0.06473288685083389,0.35479795932769775,0.39479294419288635,0.008339137770235538,0.008484115824103355,0.0003510978422127664,0.0015881677391007543,0.005990932229906321,1.903957308968529e-05,0.0009955415735021234,0.0100812753662467,0.009732693433761597,6.460224540205672e-05,6.467936327680945e-05,0.0029621797148138285,0.0038686192128807306,0.0017422314267605543,0.002668431494385004,0.07055956870317459,0.08037484437227249,0.008069716393947601,0.00046068234951235354,0.003954385872930288,0.009781921282410622,0.004493014886975288,0.008933424018323421,0.8282092809677124,0.8102995157241821,0.006005252245813608,0.014007885940372944,0.002095601987093687,0.0016312024090439081,1.2892653558083111e-06,2.8433521492843283e-06,0.8192543983459473,0.0779940979773528,0.20031763147562742,0.11992197227664292,76.61922173182262,35.31521837171883,28.60382524620172,29.56391839097499
60,2.4320120246557053e-06,0.010656788013875484,0.02271430194377899,0.24779602885246277,0.15114670991897583,0.05126771330833435,6.346261216094717e-05,1.0514285122553702e-06,3.5351453675502853e-07,0.11672081798315048,0.08331870287656784,0.16893568634986877,0.16796912252902985,0.02724953554570675,0.16431069374084473,0.148821622133255,0.032588545233011246,0.06559289246797562,0.060382772237062454,0.3597360849380493,0.4541740417480469,0.0078001185320317745,0.0079896729439497,0.000231388199608773,0.001132924109697342,0.00410205963999033,1.4435931916523259e-05,0.0009814519435167313,0.00679112458601594,0.0125189870595932,0.00022398307919502258,0.00020652070816140622,0.0011879423400387168,0.0018895295215770602,0.0007741968729533255,0.0010368756484240294,0.0796584039926529,0.0926564410328865,0.0048222350887954235,0.0007967888377606869,0.006909188348799944,0.009739838540554047,0.010946357622742653,0.006819144822657108,0.8273060321807861,0.814115047454834,0.012273836880922318,0.01850774884223938,0.0010063286172226071,0.001003366312943399,8.720423920749454e-07,2.30892237595981e-06,0.8207105398178101,0.0827421775466064,0.21182030416093767,0.12594904424622655,76.65101904735714,36.676607623872655,29.757552983912433,30.595157518234107
