frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,happiness,surprise,anger,sadness
33,2.173413577111205e-06,0.0015032829251140356,0.0005096760578453541,0.5744270086288452,0.22646132111549377,0.26229777932167053,0.00014366794493980706,2.9800344236718956e-06,8.940028806136979e-07,0.05770526081323624,0.015423393808305264,0.2399166226387024,0.2360135167837143,0.02738279476761818,0.13535407185554504,0.11865797638893127,0.021124230697751045,0.03181023150682449,0.0328780896961689,0.29331865906715393,0.11513970047235489,0.013615322299301624,0.027408042922616005,0.00038752713589929044,0.0012456647818908095,0.2878700792789459,0.0008807115955278277,0.004074086435139179,0.0038408467080444098,0.0009085446945391595,0.008706420660018921,0.014070723205804825,0.007123374380171299,0.00040271456236951053,0.0493139922618866,0.07348743826150894,0.03753545135259628,0.018851077184081078,0.003683482063934207,0.00036247828393243253,0.009498203173279762,0.0054264492355287075,0.0028196400962769985,0.0347166582942009,0.002139836782589555,0.0019370109075680375,0.0062780543230473995,0.026695556938648224,0.03322111815214157,0.029094945639371872,3.6785120300919516e-06,3.534181360009825e-06,0.002038423845078796,0.43114854395389557,0.0010064794914796948,0.19906805083155632
36,2.9719910799030913e-06,0.0023751414846628904,0.0004906354006379843,0.4799470007419586,0.19067959487438202,0.3208771049976349,0.00011103239376097918,3.0476383017230546e-06,7.201830385383801e-07,0.06411749869585037,0.02469545602798462,0.25108736753463745,0.2536342740058899,0.03895752876996994,0.10568415373563766,0.08930084854364395,0.02689683996140957,0.03284667059779167,0.026506761088967323,0.37564975023269653,0.1042206734418869,0.013287599198520184,0.014843553304672241,0.00018667892436496913,0.0015014703385531902,0.23573976755142212,0.000725861988030374,0.004757893271744251,0.002114216797053814,0.0006751167820766568,0.014345388859510422,0.021759549155831337,0.00495667289942503,0.0002973877708427608,0.023257821798324585,0.03729555010795593,0.0314481295645237,0.017242083325982094,0.0061280797235667706,0.000723175355233252,0.022220024839043617,0.006663121748715639,0.010831029154360294,0.05889180302619934,0.00047071892186068,0.00037718567182309926,0.0029031664598733187,0.011751444078981876,0.021544216200709343,0.01953725889325142,3.74877549802477e-06,3.5254865906608757e-06,0.0004239522968418896,0.35784338414669037,0.0014328884426504374,0.17201731291910013
39,3.279853672211175e-06,0.005653865169733763,0.0017695348942652345,0.4091789722442627,0.09354516863822937,0.15765488147735596,0.0001240280398633331,2.3321970274992054e-06,8.621105962447473e-07,0.0716187059879303,0.03682612255215645,0.16057872772216797,0.16711242496967316,0.06309438496828079,0.06866664439439774,0.051939450204372406,0.04789203405380249,0.05001191049814224,0.05289631336927414,0.4139006435871124,0.2722032964229584,0.010561740025877953,0.010405445471405983,0.0002566897892393172,0.0025844331830739975,0.297292023897171,0.0006355740479193628,0.006571187637746334,0.003924275282770395,0.0010251635685563087,0.009640674106776714,0.014801142737269402,0.002295467536896467,0.00017634751566220075,0.030319392681121826,0.05374819412827492,0.050461944192647934,0.025429196655750275,0.0025243342388421297,0.000873251527082175,0.024902917444705963,0.014888603240251541,0.0063968137837946415,0.019023656845092773,0.000528156291693449,0.000453714543255046,0.003029495244845748,0.0150489816442132,0.006021498236805201,0.005632986314594746,2.7767316623794613e-06,4.1718617467267904e-06,0.0004909354174742475,0.35323549807071686,0.0037117000319994986,0.14454026302943626
42,1.3912667782278731e-06,0.006648093927651644,0.0022909585386514664,0.3841203451156616,0.08017221093177795,0.15474525094032288,1.2466584848880302e-05,3.798734837801021e-07,4.774528292728064e-07,0.11799342930316925,0.06522022932767868,0.13497813045978546,0.13624808192253113,0.10038617998361588,0.0482049323618412,0.0321623757481575,0.09382504969835281,0.07793442159891129,0.07537587732076645,0.46274274587631226,0.36899489164352417,0.007191163022071123,0.007409348152577877,5.934081127634272e-05,0.0019663150887936354,0.010983036831021309,4.8667916416889057e-05,0.003979101777076721,0.0071932231076061726,0.0006638532504439354,0.0009436475811526179,0.001860190648585558,0.0008240285678766668,0.0010137915378436446,0.000504008203279227,0.000878092716448009,0.038868341594934464,0.014900127425789833,0.06619260460138321,0.0009321570978499949,0.038120660930871964,0.006183309946209192,0.02110549435019493,0.0028800428844988346,7.60049297241494e-05,5.0212103815283626e-05,0.0004979512304998934,0.00418183533474803,1.9790253645624034e-05,1.4617422493756749e-05,1.5749325257274904e-06,7.136965791687544e-07,6.310851676971652e-05,0.19755169097334146,0.004469526233151555,0.12897472778179994
45,2.206780891356175e-06,0.008201626129448414,0.0025553617160767317,0.42780598998069763,0.05158320441842079,0.11234162747859955,1.2187479114800226e-05,4.27445058903686e-07,7.615772688041034e-07,0.11483028531074524,0.059150513261556625,0.15370769798755646,0.15447843074798584,0.12394921481609344,0.03812717646360397,0.02351563796401024,0.12128949165344238,0.06318052858114243,0.06157279387116432,0.38159048557281494,0.31293055415153503,0.006999946665018797,0.007534803822636604,7.58669848437421e-05,0.0014136946992948651,0.0049788858741521835,2.0596433387254365e-05,0.001729158335365355,0.020716484636068344,0.0004847058153245598,0.002373176161199808,0.006242371164262295,0.0004064835957251489,0.0032874487806111574,0.00031882041366770864,0.0006622280343435705,0.09821920841932297,0.02644331194460392,0.016164205968379974,0.00016158739163074642,0.03905931115150452,0.003029300831258297,0.049807410687208176,0.005362631753087044,0.00039719947380945086,0.00022348517086356878,0.0011317816097289324,0.02092730812728405,6.432327791117132e-05,3.321815165691078e-05,1.8369237295701168e-06,9.755474366102135e-07,0.0003103423223365098,0.2163924379274249,0.005378493922762573,0.1454738457687199
48,2.4562036742281634e-06,0.009955298155546188,0.002216669963672757,0.34698763489723206,0.050476737320423126,0.14760492742061615,4.5597105781780556e-05,5.639196842821548e-07,6.595687409571838e-07,0.14254336059093475,0.08664216846227646,0.2505415081977844,0.25898024439811707,0.0838484913110733,0.055038657039403915,0.041405703872442245,0.06586255133152008,0.03556981310248375,0.03101726993918419,0.4316365122795105,0.3229888677597046,0.004992096684873104,0.004316238686442375,0.0002113295195158571,0.003756329184398055,0.032920144498348236,4.826838994631544e-05,0.003954250365495682,0.05724306404590607,0.0005239322781562805,0.00035523419501259923,0.0008375838515348732,0.005355780012905598,0.0028901281766593456,0.002883634064346552,0.0110300462692976,0.07041384279727936,0.007887542247772217,0.025203008204698563,0.00018281333905179054,0.02010093629360199,0.006132201757282019,0.006417722906917334,0.01747654564678669,0.0006875643157400191,0.0002624454500619322,0.0004947937559336424,0.003728552022948861,0.0015378301031887531,0.0006462085875682533,2.1561563698924147e-06,1.4602018154619145e-06,0.00047500488290097564,0.18995388969779015,0.006085984059609473,0.11606015098125984
51,2.4733042209845735e-06,0.01415954064577818,0.004463964141905308,0.27832961082458496,0.05188596248626709,0.1283458024263382,1.3702272553928196e-05,3.86981810152065e-07,5.090026320431207e-07,0.15509922802448273,0.10769613087177277,0.1731673628091812,0.1768886148929596,0.09257112443447113,0.04487117379903793,0.03491144999861717,0.09545893222093582,0.05796052888035774,0.05218803510069847,0.48370689153671265,0.3851754665374756,0.0046627274714410305,0.0036648300010710955,5.1574592362158e-05,0.001416524057276547,0.004685138817876577,1.787167275324464e-05,0.0018785400316119194,0.015855560079216957,0.0004731822700705379,0.0031159294303506613,0.006080590654164553,0.0004277745319996029,0.001920006820000708,0.00019545297254808247,0.0004993237089365721,0.08653447777032852,0.013952567242085934,0.02441331371665001,0.00033360079396516085,0.035065747797489166,0.0024138428270816803,0.06210756301879883,0.009490675292909145,0.0004721956793218851,0.00021538826695177704,0.0017521749250590801,0.008068021386861801,8.449943561572582e-05,5.4990498028928414e-05,1.7246893548872322e-06,9.912340601658798e-07,0.0003437919731368311,0.14150737482123077,0.009311752393841743,0.09584204363636672
54,1.3716737612412544e-06,0.00942955818027258,0.003442107466980815,0.3068077266216278,0.0786355584859848,0.14286774396896362,1.0404698514321353e-05,3.6194171570969047e-07,2.0772715458861057e-07,0.15090809762477875,0.11517463624477386,0.2859000563621521,0.27524682879447937,0.06696869432926178,0.06437002122402191,0.04824526607990265,0.06684593856334686,0.033875226974487305,0.02764054760336876,0.4595978558063507,0.34069880843162537,0.005783176515251398,0.0033941352739930153,4.774357148562558e-05,0.0008309630793519318,0.006397510413080454,5.5206339311553165e-05,0.0027864419389516115,0.003508871654048562,0.0008180072181858122,0.0007031757850199938,0.0012322100810706615,0.0020562417339533567,0.0013177181826904416,0.00028446019859984517,0.00040942244231700897,0.014127148315310478,0.009405763819813728,0.1618487387895584,0.0009277190547436476,0.01739209145307541,0.0014636862324550748,0.024496950209140778,0.011899319477379322,0.00013572305033449084,0.00012255205365363508,0.0005027661682106555,0.0037140767090022564,0.00019201592658646405,0.00018686857947614044,1.6447529560537077e-06,4.970157192474289e-07,0.00012913755199406296,0.15660261851735413,0.006435832823626697,0.10291437082923949
57,1.929498012032127e-06,0.002286118222400546,0.0005632011452689767,0.44599419832229614,0.1552581638097763,0.225160613656044,6.463657337008044e-05,1.8351131529925624e-06,3.970234274675022e-07,0.11763636767864227,0.1060093492269516,0.31157130002975464,0.31369373202323914,0.08478016406297684,0.05216790735721588,0.03796149045228958,0.06999070197343826,0.027235599234700203,0.022566210478544235,0.39095979928970337,0.31098777055740356,0.006811885628849268,0.004096278455108404,0.0001522889651823789,0.004064630717039108,0.2831967771053314,0.0005300621851347387,0.004972764290869236,0.004366777371615171,0.0010524964891374111,0.0019665032159537077,0.0036524191964417696,0.007948470301926136,0.0009595311712473631,0.01693669520318508,0.02310246415436268,0.017481917515397072,0.01865166798233986,0.009705226868391037,0.0002180461015086621,0.025394579395651817,0.008914417587220669,0.01042723935097456,0.04156253859400749,0.0002702461206354201,0.0002296354214195162,0.0005581717705354095,0.0054146223701536655,0.01326354406774044,0.00993128027766943,1.9733204226213275e-06,2.3749926185701042e-06,0.00024994077102746814,0.3645954877138138,0.0014246596838347614,0.15053770691156387
60,2.85636497210362e-06,0.0027167212683707476,0.0006178191979415715,0.47262635827064514,0.13804200291633606,0.23410263657569885,8.310514385811985e-05,2.9921459372417303e-06,7.538512818427989e-07,0.09867994487285614,0.04553360864520073,0.25469309091567993,0.25977882742881775,0.0858803242444992,0.052657436579465866,0.03627762943506241,0.071147121489048,0.03140777349472046,0.030655380338430405,0.38728681206703186,0.20921167731285095,0.008869586512446404,0.00884852185845375,0.00021394362556748092,0.0023526251316070557,0.26370131969451904,0.0006309075397439301,0.0044012051075696945,0.004733668174594641,0.000761949282605201,0.004444418009370565,0.009932245127856731,0.006798555143177509,0.0005925873410888016,0.0253146942704916,0.04009399190545082,0.021372884511947632,0.01853383518755436,0.00901200994849205,0.00031547300750389695,0.028541620820760727,0.006373691838234663,0.010431688278913498,0.04548506438732147,0.0003395032254047692,0.00031730785849504173,0.0008126449538394809,0.017867298796772957,0.01944149099290371,0.013110026717185974,2.9594079933303874e-06,3.655051159512368e-06,0.00032840554194990546,0.3681638389825821,0.0016672702331561595,0.16233434046929082
